date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-06-17,ХИ 9615 ,32Н,УРГЕНЧ(УРГЕНЧ ИНТЛ.),21,Y(А12),13:58,1741,2026-06-17 14:09:00,2026-06-17 14:18:00,6.0,2026-06-17 14:17:00,2026-06-17 14:29:00,2026-06-17 14:17:00,2026-06-17 14:29:00,2026-06-17 14:25:00,4.0,,2026-06-17 14:25:00,2026-06-17 14:40:00,,1.0,2026-06-17 14:21:00,2026-06-17 14:25:00,2026-06-17 14:34:00,2026-06-17 14:40:00,,,Аганин А. А.,UZBEKISTAN AIRWAYS,Выдача от 30 до 40 минут
2026-06-17,ЮТ 364 ,73Х,УФА,16,Y(А05),14:02,301,2026-06-17 14:15:00,2026-06-17 14:15:00,,2026-06-17 14:37:00,2026-06-17 14:39:00,2026-06-17 14:37:00,2026-06-17 14:39:00,2026-06-17 14:21:00,18.0,,2026-06-17 14:45:00,2026-06-17 14:47:00,10.0,2.0,2026-06-17 14:41:00,2026-06-17 14:44:00,,,,,Бородин А. В.,Ютэйр,Выдача от 30 до 40 минут
2026-06-17,КГ 503 ,320,БИШКЕК(МАНАС ИНТЛ),23,Y(А13),14:05,2001,2026-06-17 14:22:00,2026-06-17 14:22:00,,2026-06-17 14:24:00,2026-06-17 14:41:00,2026-06-17 14:24:00,2026-06-17 14:41:00,2026-06-17 14:39:00,2.0,4.0,2026-06-17 14:35:00,2026-06-17 15:01:00,,9.0,2026-06-17 14:30:00,2026-06-17 14:36:00,2026-06-17 14:54:00,2026-06-17 14:59:00,,,Фартушный А. И.,Aero Nomad,Выдача от 30 до 40 минут
2026-06-17,PC 388 ,32Щ,СТАМБУЛ(САБИХА ГОКЦЕН),24,Y(А10),14:08,2527,2026-06-17 14:20:00,2026-06-17 14:25:00,2.0,2026-06-17 14:27:00,2026-06-17 14:47:00,2026-06-17 14:27:00,2026-06-17 14:47:00,2026-06-17 14:41:00,6.0,3.0,2026-06-17 14:38:00,2026-06-17 14:53:00,,3.0,2026-06-17 14:34:00,2026-06-17 14:38:00,2026-06-17 14:48:00,2026-06-17 14:52:00,,,Королёв Е. А.,Pegasus,Выдача от 30 до 40 минут
2026-06-17,УТА 6316 ,73Е,БОВАНЕНКОВО,11,Y(А07),14:12,1202,2026-06-17 14:24:00,2026-06-17 14:24:00,,2026-06-17 14:27:00,2026-06-17 14:39:00,2026-06-17 14:27:00,2026-06-17 14:39:00,2026-06-17 14:36:00,3.0,4.0,2026-06-17 14:44:00,2026-06-17 14:45:00,,0.0,,,2026-06-17 14:39:00,2026-06-17 14:42:00,,,Позин М. В.,Ютэйр,Выдача до 30 минут
2026-06-17,AZV 3002 ,763,АНТАЛЬЯ,18,Y(А09),14:14,2786,2026-06-17 14:26:00,2026-06-17 14:31:00,2.0,2026-06-17 14:34:00,2026-06-17 14:55:00,2026-06-17 14:34:00,2026-06-17 14:55:00,2026-06-17 14:49:00,6.0,2.0,2026-06-17 14:53:00,2026-06-17 15:02:00,7.0,6.0,2026-06-17 14:34:00,2026-06-17 14:55:00,2026-06-17 15:02:00,2026-06-17 15:03:00,,,Виноградов А. А.,АЗУР эйр,Выдача от 30 до 40 минут
2026-06-17,ЯМ 543 ,73Х,НОВОСИБИРСК(ТОЛМАЧЕВО),12,Y(А08),14:18,921,2026-06-17 14:29:00,2026-06-17 14:29:00,,2026-06-17 14:33:00,2026-06-17 14:38:00,2026-06-17 14:33:00,2026-06-17 14:38:00,2026-06-17 14:39:00,,,2026-06-17 14:44:00,2026-06-17 14:47:00,,0.0,2026-06-17 14:40:00,2026-06-17 14:44:00,,,,,Баташан В. Ю.,Алроса,Выдача до 30 минут
2026-06-17,РГ 194 ,ЦР1,ТАМБОВ,44,Y(А04),14:25,99,2026-06-17 14:49:00,2026-06-17 14:49:00,,2026-06-17 14:38:00,2026-06-17 14:40:00,2026-06-17 14:38:00,2026-06-17 14:40:00,2026-06-17 14:54:00,,1.0,2026-06-17 14:47:00,2026-06-17 14:48:00,,0.0,2026-06-17 14:40:00,2026-06-17 14:45:00,,,,,Фаёзов А. Р.,Руслайн,Некорректно проставлены отметки
2026-06-17,ГЗП 294 ,73В,ТАЛАКАН,Б63,Y(А04),15:20,365,2026-06-17 15:26:00,2026-06-17 15:27:00,,2026-06-17 15:30:00,2026-06-17 15:31:00,2026-06-17 15:30:00,2026-06-17 15:31:00,,,1.0,2026-06-17 16:20:00,2026-06-17 16:21:00,24.0,15.0,2026-06-17 15:45:00,2026-06-17 15:46:00,,,,,Ушаков Г. А.,Газпром авиа,Выдача более 40 минут
2026-06-17,ДР 262 ,73Х,КАЛИНИНГРАД(ХРАБРОВО),48,Y(А07),15:27,520,2026-06-17 15:40:00,2026-06-17 15:40:00,,2026-06-17 15:41:00,2026-06-17 15:46:00,2026-06-17 15:41:00,2026-06-17 15:46:00,2026-06-17 15:47:00,,2.0,2026-06-17 15:51:00,2026-06-17 15:52:00,,0.0,2026-06-17 15:47:00,2026-06-17 15:52:00,,,,,Прохачев И. А.,Победа,Выдача до 30 минут
